#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-01-09, 14:35:14
# Real time (s): 11823.350
# Live time (s): 11028.830
#
# Total counts:  59919795
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       1129086
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
582	141.803	6006	0.544573
583	142.047	6026	0.546386
584	142.291	6068	0.550194
585	142.534	6120	0.554909
586	142.778	6135	0.556269
587	143.022	6157	0.558264
588	143.266	6126	0.555453
589	143.510	6141	0.556813
590	143.754	6188	0.561075
591	143.998	6226	0.56452
592	144.242	6274	0.568873
593	144.485	6212	0.563251
594	144.729	6080	0.551282
595	144.973	6008	0.544754
596	145.217	5990	0.543122
597	145.461	5949	0.539404
598	145.705	5724	0.519003
599	145.949	5769	0.523084
600	146.192	5774	0.523537
601	146.436	5759	0.522177
602	146.680	5909	0.535778
603	146.924	6022	0.546023
604	147.168	5914	0.536231
605	147.412	5882	0.533329
606	147.656	5848	0.530247
607	147.899	5921	0.536866
608	148.143	5868	0.53206
609	148.387	5906	0.535506
610	148.631	5940	0.538588
611	148.875	5829	0.528524
612	149.119	5725	0.519094
613	149.363	5810	0.526801
614	149.607	5897	0.53469
615	149.850	6035	0.547202
616	150.094	5970	0.541309
617	150.338	5893	0.534327
618	150.582	6048	0.548381
619	150.826	6016	0.545479
620	151.070	5992	0.543303
621	151.314	6051	0.548653
622	151.557	5988	0.542941
623	151.801	5962	0.540583
624	152.045	5946	0.539132
625	152.289	6040	0.547656
626	152.533	5938	0.538407
627	152.777	5840	0.529521
628	153.021	6007	0.544663
629	153.264	6060	0.549469
630	153.508	5821	0.527799
631	153.752	5961	0.540493
632	153.996	5930	0.537682
633	154.240	6005	0.544482
634	154.484	5882	0.533329
635	154.728	5919	0.536684
636	154.972	6024	0.546205
637	155.215	5972	0.54149
638	155.459	5958	0.54022
639	155.703	6066	0.550013
640	155.947	6016	0.545479
641	156.191	6136	0.55636
642	156.435	5981	0.542306
643	156.679	6007	0.544663
644	156.922	6013	0.545207
645	157.166	6002	0.54421
646	157.410	6051	0.548653
647	157.654	5823	0.52798
648	157.898	5866	0.531879
649	158.142	6075	0.550829
650	158.386	6041	0.547746
651	158.630	5931	0.537772
652	158.873	6063	0.549741
653	159.117	6070	0.550376
654	159.361	5996	0.543666
655	159.605	6124	0.555272
656	159.849	6453	0.585103
657	160.093	6740	0.611126
658	160.337	7374	0.668611
659	160.580	7669	0.695359
660	160.824	7876	0.714128
661	161.068	7861	0.712768
662	161.312	7325	0.664168
663	161.556	6957	0.630801
664	161.800	6615	0.599792
665	162.044	6325	0.573497
666	162.287	6084	0.551645
667	162.531	5908	0.535687
668	162.775	5907	0.535596
669	163.019	5731	0.519638
670	163.263	5901	0.535052
671	163.507	5807	0.526529
672	163.751	6047	0.54829
673	163.995	6593	0.597797
674	164.238	8368	0.758739
675	164.482	12573	1.14001
676	164.726	21241	1.92595
677	164.970	36177	3.28022
678	165.214	58503	5.30455
679	165.458	86925	7.88162
680	165.702	114147	10.3499
681	165.945	133633	12.1167
682	166.189	137622	12.4784
683	166.433	123560	11.2034
684	166.677	97319	8.82405
685	166.921	69259	6.27981
686	167.165	43949	3.98492
687	167.409	25745	2.33434
688	167.652	14818	1.34357
689	167.896	9344	0.847234
690	168.140	6913	0.626812
691	168.384	6049	0.548472
692	168.628	5788	0.524806
693	168.872	5704	0.51719
694	169.116	5678	0.514832
695	169.360	5706	0.517371
696	169.603	5708	0.517553
697	169.847	5597	0.507488
698	170.091	5811	0.526892
699	170.335	5687	0.515649
700	170.579	5695	0.516374
701	170.823	5696	0.516465
702	171.067	5767	0.522902
703	171.310	5912	0.53605
704	171.554	5782	0.524262
705	171.798	5781	0.524172
706	172.042	5746	0.520998
707	172.286	5791	0.525078
708	172.530	5861	0.531425
709	172.774	5797	0.525622
710	173.018	5805	0.526348
711	173.261	5809	0.52671
