#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2025-12-17, 10:49:09
# Real time (s): 12351.430
# Live time (s): 12032.110
#
# Total counts:  23907440
#
# Left marker:  20 (4.751 keV)
# Right marker: 50 (12.067 keV)
# Counts:       455452
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -0.126274
#     A1: 0.243864
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
686	167.165	17553	1.45885
687	167.409	9618	0.799361
688	167.652	5563	0.462346
689	167.896	3858	0.320642
690	168.140	3212	0.266952
691	168.384	2882	0.239526
692	168.628	2780	0.231048
693	168.872	2791	0.231963
694	169.116	2695	0.223984
695	169.360	2800	0.232711
696	169.603	2836	0.235703
697	169.847	2754	0.228888
698	170.091	2848	0.2367
699	170.335	2735	0.227308
700	170.579	2809	0.233459
701	170.823	2850	0.236866
702	171.067	2894	0.240523
703	171.310	2757	0.229137
704	171.554	2819	0.23429
705	171.798	2876	0.239027
706	172.042	2989	0.248419
707	172.286	2903	0.241271
708	172.530	2889	0.240108
709	172.774	2863	0.237947
710	173.018	2914	0.242185
711	173.261	2920	0.242684
712	173.505	2828	0.235038
713	173.749	2894	0.240523
714	173.993	2870	0.238528
715	174.237	2872	0.238695
716	174.481	2914	0.242185
717	174.725	2939	0.244263
718	174.968	2941	0.244429
719	175.212	2907	0.241604
720	175.456	2988	0.248335
721	175.700	2948	0.245011
722	175.944	2912	0.242019
723	176.188	2963	0.246258
724	176.432	2862	0.237864
725	176.675	2911	0.241936
726	176.919	2903	0.241271
727	177.163	2894	0.240523
728	177.407	2871	0.238612
729	177.651	2896	0.240689
730	177.895	2818	0.234207
731	178.139	2769	0.230134
732	178.383	2792	0.232046
733	178.626	2780	0.231048
734	178.870	2823	0.234622
735	179.114	2763	0.229636
736	179.358	2818	0.234207
737	179.602	2791	0.231963
738	179.846	2742	0.22789
739	180.090	2857	0.237448
740	180.333	2775	0.230633
741	180.577	2751	0.228638
742	180.821	2799	0.232628
743	181.065	2680	0.222737
744	181.309	2768	0.230051
745	181.553	2697	0.22415
746	181.797	2808	0.233376
747	182.041	2649	0.220161
748	182.284	2656	0.220743
749	182.528	2699	0.224316
750	182.772	2716	0.225729
751	183.016	2740	0.227724
752	183.260	2705	0.224815
753	183.504	2680	0.222737
754	183.748	2768	0.230051
755	183.991	2722	0.226228
756	184.235	2702	0.224566
757	184.479	2727	0.226644
758	184.723	2713	0.22548
759	184.967	2736	0.227392
760	185.211	2710	0.225231
761	185.455	2655	0.22066
762	185.698	2786	0.231547
763	185.942	2660	0.221075
764	186.186	2758	0.22922
765	186.430	2670	0.221906
766	186.674	2590	0.215257
767	186.918	2819	0.23429
768	187.162	2728	0.226727
769	187.406	2774	0.23055
770	187.649	2813	0.233791
771	187.893	2730	0.226893
772	188.137	2838	0.235869
773	188.381	2713	0.22548
774	188.625	2735	0.227308
775	188.869	2751	0.228638
776	189.113	2689	0.223485
777	189.356	2778	0.230882
778	189.600	2769	0.230134
779	189.844	2681	0.22282
780	190.088	2793	0.232129
781	190.332	2680	0.222737
782	190.576	2658	0.220909
783	190.820	2689	0.223485
784	191.063	2666	0.221574
785	191.307	2641	0.219496
786	191.551	2590	0.215257
787	191.795	2692	0.223735
788	192.039	2716	0.225729
789	192.283	2682	0.222904
790	192.527	2642	0.219579
791	192.771	2650	0.220244
792	193.014	2625	0.218166
793	193.258	2705	0.224815
794	193.502	2625	0.218166
795	193.746	2691	0.223652
796	193.990	2645	0.219828
797	194.234	2671	0.221989
798	194.478	2632	0.218748
799	194.721	2787	0.23163
800	194.965	2811	0.233625
801	195.209	2653	0.220493
802	195.453	2762	0.229552
803	195.697	2708	0.225064
804	195.941	2751	0.228638
805	196.185	2628	0.218416
806	196.429	2656	0.220743
